TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-19,2026-08-19,CM,BSE,STK,500680,INE182A01018,PFIZER,A,,,,,PFIZER LTD.,4811.00,4965.00,4811.00,4917.35,4920.00,4800.80,,4919.44,,,237560,1167522989.00,810,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500696,INE030A01027,HINDUNILVR,A,,,,,HINDUSTAN UNILEVER LTD.,2036.00,2041.50,2008.45,2016.00,2016.00,2036.00,,2020.69,,,87246,176210105.00,9520,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,500875,INE154A01025,ITC,A,,,,,ITC LTD.,270.10,270.95,265.85,266.90,266.90,270.10,,267.05,,,1169032,313536298.00,33492,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,505890,INE717A01029,KENNAMET,B,,,,,KENNAMETAL INDIA LTD.,3548.50,3679.00,3548.50,3611.95,3619.65,3511.40,,3615.80,,,63161,228411199.00,1083,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,511034,INE742C01031,JINDRILL,B,,,,,JINDAL DRILLING & INDUSTRIES L,651.35,665.35,627.40,636.90,634.50,651.00,,635.16,,,338559,219861462.00,6305,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,512529,INE807F01027,VIYASH,A,,,,,VIYASH SCIENTIFIC LIMITED,254.00,275.65,253.90,271.95,270.00,254.65,,271.56,,,780161,211178452.00,2706,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,513599,INE531E01026,HINDCOPPER,A,,,,,HINDUSTAN COPPER LTD.,560.00,569.00,553.00,554.90,554.90,566.40,,554.86,,,772625,433159057.00,13693,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,515055,INE242C01024,ANANTRAJ,A,,,,,ANANT RAJ LIMITED,623.75,640.20,621.05,631.25,631.25,627.10,,631.52,,,378632,239546054.00,9352,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,522275,INE200A01026,GVT&D,A,,,,,GE Vernova T&D India Limited,4189.70,4189.70,4042.65,4119.00,4119.00,4195.00,,4100.09,,,79018,323933603.00,4740,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,523385,INE310A01015,NILKAMAL,B,,,,,NILKAMAL LTD.,1835.30,2105.00,1835.30,2030.70,2030.00,1831.55,,2033.48,,,129471,264185996.00,6419,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,524208,INE769A01020,AARTIIND,A,,,,,AARTI INDUSTRIES LTD.,534.20,534.20,520.10,526.90,525.50,529.95,,527.04,,,553362,290604933.00,1851,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,524715,INE044A01036,SUNPHARMA,A,,,,,SUN PHARMACEUTICAL INDUSTRIES,1870.40,1898.80,1870.40,1898.00,1898.00,1876.40,,1899.99,,,269980,510155491.00,4174,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,530843,INE509F01029,CUPID,A,,,,,CUPID LTD.,285.50,291.00,277.00,284.30,284.30,284.10,,284.53,,,4108132,1165733440.00,34505,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,532174,INE090A01021,ICICIBANK,A,,,,,ICICI BANK LTD.,1410.10,1415.00,1391.10,1401.80,1401.80,1411.05,,1402.00,,,446798,625335084.00,9545,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,532175,INE136B01020,CYIENT,A,,,,,CYIENT LIMITED,867.05,902.75,863.95,895.00,895.00,857.75,,894.80,,,1078505,964883157.00,3070,F1,1,,,,,
2026-08-19,2026-08-19,CM,BSE,STK,532259,INE372A01015,APARINDS,A,,,,,APAR INDUSTRIES LTD.,17471.90,17511.90,16480.00,16607.65,16599.00,17205.65,,16614.84,,,12946,216923772.00,1281,F1,1,,,,,
